title,genre,publisher,avg_ratings,na_sales,pal_sales,jp_sales,other_sales,total_sales,release_date,release_year
""MySims"",Simulation,""Electronic Arts"",6.9,2.48,2.16,0.12,0.57,5.34,2007-09-18,2007
""Rock Band 2"",Misc,""MTV Games"",8.8,4.13,0.68,NULL,0.5,5.31,2008-09-14,2008
""Assassin's Creed Syndicate"",Action,""Ubisoft"",8.6,1.76,2.76,0.08,0.69,5.3,2015-10-23,2015
""Mortal Kombat X"",Fighting,""Warner Bros. Interactive Entertainment"",NULL,3.29,1.21,NULL,0.79,5.28,2015-04-07,2015
""The Incredibles"",Action,""THQ"",6.1,2.76,2.02,0.08,0.42,5.27,2004-10-26,2004
""Dragon Age: Inquisition"",Role-Playing,""Electronic Arts"",8.6,2.71,1.7,0.14,0.68,5.25,2014-11-18,2014
""True Crime: Streets of LA"",Action,""Activision"",8.1,3.29,1.53,0.02,0.38,5.21,2003-11-03,2003
""Need for Speed Rivals"",Racing,""Electronic Arts"",NULL,1.95,2.46,0.09,0.7,5.2,2013-11-15,2013
""The Elder Scrolls V: Skyrim Special Edition"",Role-Playing,""Bethesda Softworks"",8.2,2.37,2.03,0.08,0.71,5.19,2016-10-28,2016
""Doom (2016)"",Shooter,""Bethesda Softworks"",8.2,2.04,2.44,0.05,0.66,5.18,2016-05-13,2016
""LEGO Indiana Jones 2: The Adventure Continues"",Adventure,""LucasArts"",6.5,2.87,1.69,NULL,0.62,5.16,2009-11-17,2009
""James Bond 007: Agent Under Fire"",Shooter,""Electronic Arts"",7.5,3.11,1.5,0.1,0.46,5.15,2001-11-13,2001
""WWE SmackDown vs. Raw 2010"",Fighting,""THQ"",8,2.66,1.39,0.02,1.08,5.15,2009-10-20,2009
""FIFA Soccer 06"",Sports,""EA Sports"",8,1.27,2.96,0.04,0.86,5.13,2005-10-04,2005
""Microsoft Flight Simulator"",Simulation,""Microsoft"",7,3.22,1.69,NULL,0.2,5.12,1982-11-01,1982
""The Lord of the Rings: The Return of the King"",Action,""Electronic Arts"",8.6,2.74,1.8,0.05,0.53,5.11,2003-10-31,2003
""Mario & Sonic at the Olympic Games"",Sports,""Sega"",7.1,1.63,2.46,0.44,0.57,5.1,2007-11-06,2007
""Resident Evil 6"",Action,""Capcom"",NULL,2,1.58,0.95,0.55,5.09,2012-10-02,2012
""Titanfall"",Shooter,""Electronic Arts"",NULL,3,1.57,0.06,0.46,5.08,2014-03-11,2014
""James Bond 007: Nightfire"",Shooter,""Electronic Arts"",7.6,2.73,1.71,0.12,0.51,5.06,2002-11-18,2002
""Warzone 2100"",Strategy,""Eidos Interactive"",NULL,2.79,1.89,NULL,0.33,5.01,1999-05-31,1999
""The Sims: Bustin' Out"",Simulation,""Electronic Arts"",7.6,2.83,1.88,NULL,0.29,4.98,2003-12-02,2003
""Uncharted: Drake's Fortune"",Action,""Sony Computer Entertainment"",8.7,2.32,1.73,0.12,0.8,4.97,2007-11-16,2007
""Mass Effect 2"",Role-Playing,""Electronic Arts"",9.4,2.78,1.59,0.06,0.5,4.95,2010-01-26,2010
""Wall-E"",Platform,""THQ"",6.8,1.88,1.92,0,1.11,4.92,2008-06-24,2008
""The Simpsons: Road Rage"",Racing,""Electronic Arts"",6,2.99,1.48,NULL,0.44,4.9,2001-11-24,2001
""Midnight Club: Los Angeles"",Racing,""Rockstar Games"",8.2,3.31,0.99,0.06,0.55,4.9,2008-10-20,2008
""Guitar Hero 5"",Misc,""Activision"",8.9,2.38,1.54,NULL,0.97,4.9,2009-09-01,2009
""FIFA Soccer 2005"",Sports,""EA Sports"",8.2,1.08,3.13,0.04,0.63,4.89,2004-10-09,2004
""Enter the Matrix"",Action,""Atari"",6.5,2.84,1.64,0.12,0.24,4.83,2003-05-14,2003
""Crash Team Racing"",Racing,""Sony Computer Entertainment"",9.2,2.57,1.57,0.44,0.21,4.79,1999-09-30,1999
""Saints Row 2"",Action,""THQ"",7.7,2.86,1.36,0.04,0.53,4.79,2008-10-14,2008
""Tom Clancy's Ghost Recon Wildlands"",Shooter,""Ubisoft"",7.4,2.05,1.87,0.22,0.62,4.77,2017-03-07,2017
""Skate 3"",Sports,""EA Sports"",8.3,2.26,1.92,NULL,0.57,4.74,2010-05-11,2010
""Driver 2"",Action,""Atari"",7,2.36,2.1,0.02,0.25,4.73,2000-11-13,2000
""Dragon Age: Origins"",Role-Playing,""Electronic Arts"",8.8,2.72,1.43,0.11,0.47,4.73,2009-11-03,2009
""The Elder Scrolls IV: Oblivion"",Role-Playing,""Take-Two Interactive"",9.2,2.9,1.24,0.13,0.45,4.72,2009-07-07,2009
""Watch Dogs 2"",Action,""Ubisoft"",NULL,1.69,2.27,0.12,0.64,4.71,2016-11-15,2016
""WWF War Zone"",Fighting,""Acclaim Entertainment"",NULL,3.55,1,NULL,0.15,4.69,1998-01-01,1998
""Grand Theft Auto: Episodes from Liberty City"",Adventure,""Rockstar Games"",9,1.7,2.21,0.16,0.61,4.69,2009-10-29,2009
""Just Dance 2015"",Music,""Ubisoft"",8.1,2.54,1.67,NULL,0.48,4.68,2014-10-21,2014
""NBA 2K19"",Sports,""2K Sports"",NULL,3.4,0.54,0.04,0.68,4.67,2018-09-11,2018
""Dead Island"",Action,""Deep Silver"",6.9,2.56,1.44,0.15,0.53,4.67,2011-09-06,2011
""Assassin's Creed Odyssey"",Action-Adventure,""Ubisoft"",9.5,2.09,1.81,0.09,0.64,4.63,2018-10-05,2018
""Batman: Arkham Origins"",Action-Adventure,""Warner Bros. Interactive Entertainment"",NULL,2.42,1.56,0.04,0.6,4.62,2013-10-25,2013
""Forza Motorsport 4"",Racing,""Microsoft Studios"",9.1,2.08,1.98,0.06,0.49,4.6,2011-10-11,2011
""Namco Museum: 50th Anniversary"",Misc,""Namco"",NULL,2.52,1.48,NULL,0.56,4.57,2005-08-30,2005
""Star Wars Episode III: Revenge of the Sith"",Action,""LucasArts"",NULL,2.29,1.77,0.03,0.47,4.56,2005-05-04,2005
""Max Payne"",Shooter,""Rockstar Games"",8.4,2.97,1.24,0.05,0.27,4.53,2001-07-23,2001
""Madden NFL 18"",Sports,""EA Sports"",8.5,3.36,0.49,NULL,0.67,4.53,2017-08-25,2017
